tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N37178,1997,Fixed wing multi engine,CANADAIR,CL-600-2B19,2,55,NA,Turbo-fan
N371DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N371NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N371NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N371SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N37252,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37253,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37255,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37263,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37267,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37273,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37274,2002,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37277,2002,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37281,2003,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37287,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37290,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37293,2005,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37298,2005,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N372DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N372NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N372SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N372UA,NA,Fixed wing multi engine,LARRY A FRENCH,SEAHUNTER,2,NA,NA,2 Cycle
N3730B,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3731T,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3732J,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3733Z,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3734B,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3735D,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3736C,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3737C,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3738B,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3739P,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N373DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N373NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N373SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N373UA,NA,Fixed wing multi engine,AIRBUS INDUSTRIE,A340-300,4,375,NA,Turbo-fan
N37408,2001,Fixed wing multi engine,BOEING,737-924,2,191,NA,Turbo-fan
N3740C,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N37419,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3741S,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N37420,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37422,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37427,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3742C,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N37437,2009,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3743H,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3744F,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N37456,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3745B,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N37462,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37465,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37468,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3746H,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N37470,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37471,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37474,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3747D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3748Y,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3749D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N374DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N374NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N374SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N3750D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3751B,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3752,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3753,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3754A,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3755D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3756,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3757D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3758Y,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3759,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N375DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N375NC,2002,Fixed wing multi engine,AIRBUS,A320-212,2,182,NA,Turbo-fan
N375SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N3760C,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3761R,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3762Y,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3763D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3764D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3765,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3766,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3767,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3768,2002,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3769L,2002,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N376DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N376NW,2002,Fixed wing multi engine,AIRBUS,A320-212,2,182,NA,Turbo-fan
N376SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N37700,2002,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3771K,2002,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3772H,2010,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3773D,2010,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N377DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N377NW,2003,Fixed wing multi engine,AIRBUS,A320-211,2,182,NA,Turbo-fan
N378DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N378NW,2003,Fixed wing multi engine,AIRBUS,A320-211,2,182,NA,Turbo-fan
N378SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N379DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N379SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N380DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N380SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N381DN,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N38257,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N38268,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N382DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N382SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N383DN,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N383SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N38403,2001,Fixed wing multi engine,BOEING,737-924,2,191,NA,Turbo-fan
N38417,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N38424,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N38443,2010,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N38446,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N38451,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N38459,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N38467,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N38479,2016,Fixed wing multi engine,BOEING,737-900ER,2,222,NA,Turbo-fan
N384DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N384SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N385DN,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N385SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N386DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N386SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N386UA,NA,Rotorcraft,DJI,INSPIRE 2,4,NA,NA,Electric
N38727,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N387DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N387SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N388DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N388SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N389DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N389SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N390DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N390SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N391DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N391SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N39297,2005,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N392DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N392SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N393DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N39415,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N39416,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N39418,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N39423,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N39450,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N39461,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N39463,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N394DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N394SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N395DN,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N395SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N396DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N396SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N39726,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N39728,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N397DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N397SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N398DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N398SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N399DA,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N399WN,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N400AA,1982,Fixed wing multi engine,GULFSTREAM AMERICAN CORP.,G-1159A,2,21,NA,Turbo-jet
N400WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N401UA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N401WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N402AS,2012,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N402UA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N402WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N403AA,1977,Fixed wing multi engine,CESSNA,501,2,8,NA,Turbo-fan
N403AS,2012,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N403UA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N403WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N404UA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N404WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N405AA,NA,Fixed wing single engine,WHITE MA NANCHANG AVN TECH CO,BLM-EONE,1,NA,NA,Electric
N405UA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N405WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N406AA,NA,Fixed wing single engine,ANDREWS ALFRED,ANDREWS,1,2,NA,Reciprocating
N406UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N406WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N407AA,NA,Rotorcraft,SIKORSKY,UH-60A,2,15,NA,Turbo-shaft
N407AS,2012,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N407SW,1994,Fixed wing multi engine,CANADAIR,CL-600-2B19,2,55,NA,Turbo-fan
N407UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N407WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N408AS,2012,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N408UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N408WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N409AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N409UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N409WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N410UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N410WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N41104,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N411SW,1995,Fixed wing multi engine,CANADAIR,CL-600-2B19,2,55,NA,Turbo-fan
N411UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N411WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N412SW,1995,Fixed wing multi engine,CANADAIR,CL-600-2B19,2,55,NA,Turbo-fan
N412UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N412WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N413AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N413SW,1996,Fixed wing multi engine,CANADAIR,CL-600-2B19,2,55,NA,Turbo-fan
N413UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N413WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N414AA,1982,Fixed wing multi engine,CESSNA,414A,2,8,198,Reciprocating
N414UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N414WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N415UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N415WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N416SW,1995,Fixed wing multi engine,CANADAIR,CL-600-2B19,2,55,NA,Turbo-fan
N416UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N416WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N417AA,1986,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
N417SW,NA,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N417UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N417WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N418SW,2000,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N418UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N418WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N419AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N419UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N419WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N420UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N420WN,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N421AA,1962,Fixed wing multi engine,CESSNA,421C,2,8,90,Reciprocating
N421LV,2001,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N421UA,1994,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N422UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N422WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N423AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N423SW,2000,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N423UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N423WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N424AA,1986,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
N424UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N424WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N425AA,1968,Fixed wing single engine,PIPER,PA-28-180,1,4,107,Reciprocating
N425LV,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N425UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N426AA,1986,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
N426SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N426UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N426WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N427AA,1986,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
N427SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N427UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N427WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N428AS,2016,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N428UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N428WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N429SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N429UA,1995,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N429WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N430SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N430UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N430WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N431AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N431SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N431UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N431WN,2002,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N432SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N432UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N432WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N433AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N433AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N433LV,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N433SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N433UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N434AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N434AS,2016,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N434UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N434WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N435AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N435AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N435SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N435UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N435WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N436AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N436UA,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N436WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N437AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N437SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N437UA,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N437WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N438AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N438SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N438UA,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N438WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N439AA,1987,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N439SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N439UA,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N439WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N440AS,2013,Fixed wing multi engine,BOEING,737-990ER,2,222,NA,Turbo-fan
N440LV,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N440SW,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N440UA,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N441SW,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N441UA,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N441WN,2003,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
